labels,scientific_name,location
BLOOD PHEASANT,ITHAGINIS CRUENTUS,asia
BLUE COAU,COUA CAERULEA,africa
BLUE DACNIS,DACNIS CAYANA,central america;south america
BLUE GRAY GNATCATCHER,POLIOPTILA CAERULEA,north america
BLUE GROSBEAK,PASSERINA CAERULEA,north america;central america
BLUE GROUSE,DENDRAGAPUS OBSCURUS,north america
BLUE HERON,ARDEA HERODIAS,north america;central america;south america
BLUE JAY,CYANOCITTA CRISTATA,north america
BLUE MALKOHA,CEUTHMOCHARES AEREUS,africa
BLUE THROATED PIPING GUAN,PIPILE CUMANENSIS,south america
BLUE THROATED TOUCANET,AULACORHYNCHUS CAERULEOGULARIS,central america;south america
BOBOLINK,DOLICHONYX ORYZIVORUS,north america;south america
BORNEAN BRISTLEHEAD,PITYRIASIS GYMNOCEPHALA,asia
BORNEAN LEAFBIRD,CHLOROPSIS KINABALUENSIS,asia
BORNEAN PHEASANT,POLYPLECTRON SCHLEIERMACHERI,asia
BRANDT CORMARANT,PHALACROCORAX PENICILLATUS,north america
BREWERS BLACKBIRD,EUPHAGUS CYANOCEPHALUS,north america
BROWN CREEPER,CERTHIA AMERICANA,north america
BROWN HEADED COWBIRD,MOLOTHRUS ATER,north america
BROWN NOODY,ANOUS STOLIDUS,north america;asia;oceania
BROWN THRASHER,TOXOSTOMA RUFUM,north america
BUFFLEHEAD,BUCEPHALA ALBEOLA,north america
BULWERS PHEASANT,LOPHURA BULWERI,asia
BURCHELLS COURSER,CURSORIUS RUFUS,africa
BUSH TURKEY,ALECTURA LATHAMI,oceania
CAATINGA CACHOLOTE,PSEUDOSEISURA CRISTATA,south america
CABOTS TRAGOPAN,TRAGOPAN CABOTI,asia
CACTUS WREN,CAMPYLORHYNCHUS BRUNNEICAPILLUS,north america
CALIFORNIA CONDOR,GYMNOGYPS CALIFORNIANUS,north america
CALIFORNIA GULL,LARUS CALIFORNICUS,north america
CALIFORNIA QUAIL,CALLIPEPLA CALIFORNICA,north america
CAMPO FLICKER,COLAPTES CAMPESTRIS,south america
CANARY,SERINUS CANARIA DOMESTICA,europe
CANVASBACK,AYTHYA VALISINERIA,north america
CAPE GLOSSY STARLING,LAMPROTORNIS NITENS,africa
CAPE LONGCLAW,MACRONYX CAPENSIS,africa
CAPE MAY WARBLER,SETOPHAGA TIGRINA,north america
CAPE ROCK THRUSH,MONTICOLA RUPESTRIS,africa
CAPPED HERON,PILHERODIUS PILEATUS,central america;south america
CAPUCHINBIRD,PERISSOCEPHALUS TRICOLOR,south america
CARMINE BEE-EATER,MEROPS NUBICOIDES,africa
CASPIAN TERN,HYDROPROGNE CASPIA,north america;south america;europe;asia;africa;oceania
CASSOWARY,CASUARIUS,oceania
CEDAR WAXWING,BOMBYCILLA CEDRORUM,north america;central america;south america
CERULEAN WARBLER,SETOPHAGA CERULEA,north america;central america;south america
CHATTERING LORY,LORIUS GARRULUS,asia
CHESTNET BELLIED EUPHONIA,EUPHONIA PECTORALIS,south america
CHESTNUT WINGED CUCKOO,CLAMATOR COROMANDUS,asia
CHINESE BAMBOO PARTRIDGE,BAMBUSICOLA THORACICUS,asia
CHINESE POND HERON,ARDEOLA BACCHUS,asia
CHIPPING SPARROW,SPIZELLA PASSERINA,north america
CHUCAO TAPACULO,SCELORCHILUS RUBECULA,south america
CHUKAR PARTRIDGE,ALECTORIS CHUKAR,europe;africa;asia
CINNAMON ATTILA,ATTILA CINNAMOMEUS,south america
CINNAMON FLYCATCHER,PYRRHOMYIAS CINNAMOMEUS,south america
CINNAMON TEAL,ANAS CYANOPTERA,north america;south america
CLARKS GREBE,AECHMOPHORUS CLARKII,north america
CLARKS NUTCRACKER,NUCIFRAGA COLUMBIANA,north america
CLIFF SWALLOW,PETROCHELIDON PYRRHONOTA,north america;central america;south america
COAL TIT,PERIPARUS ATER,europe;asia;africa
COCK OF THE  ROCK,RUPICOLA,south america
COCKATOO,CACATUIDAE,oceania;asia
COLLARED ARACARI,PTEROGLOSSUS TORQUATUS,north america;central america;south america
COLLARED CRESCENTCHEST,MELANOPAREIA TORQUATA,south america
COMMON FIRECREST,REGULUS IGNICAPILLA,europe;africa
COMMON GRACKLE,QUISCALUS QUISCULA,north america
