labels,scientific_name,location
REGENT BOWERBIRD,SERICULUS CHRYSOCEPHALUS,oceania
RING-NECKED PHEASANT,PHASIANUS COLCHICUS,north america;europe;asia;oceania
ROADRUNNER,GEOCOCCYX,north america;central america
ROCK DOVE,COLUMBA LIVIA,north america;central america;south america;europe;asia;africa;oceania
ROSE BREASTED COCKATOO,EOLOPHUS ROSEICAPILLA,oceania
ROSE BREASTED GROSBEAK,PHEUCTICUS LUDOVICIANUS,north america;central america;south america
ROSEATE SPOONBILL,PLATALEA AJAJA,north america;central america;south america
ROSY FACED LOVEBIRD,AGAPORNIS ROSEICOLLIS,africa
ROUGH LEG BUZZARD,BUTEO LAGOPUS,north america;europe;asia
ROYAL FLYCATCHER,ONYCHORHYNCHUS,north america;central america;south america
RUBY CROWNED KINGLET,REGULUS CALENDULA,north america
RUBY THROATED HUMMINGBIRD,ARCHILOCHUS COLUBRIS,north america;central america
RUDDY SHELDUCK,TADORNA FERRUGINEA,europe;asia;africa
RUDY KINGFISHER,HALCYON COROMANDA,asia
RUFOUS KINGFISHER,CHLOROCERYLE INDA,central america;south america
RUFOUS TREPE,DENDROCITTA VAGABUNDA,asia
RUFUOS MOTMOT,BARYPHTHENGUS MARTII,central america;south america
SAMATRAN THRUSH,MYOPHONUS CASTANEUS,asia
SAND MARTIN,RIPARIA RIPARIA,north america;europe;asia;central america;south america;africa
SANDHILL CRANE,GRUS CANADENSIS,north america;asia
SATYR TRAGOPAN,TRAGOPAN SATYRA,asia
SAYS PHOEBE,SAYORNIS SAYA,north america
SCARLET CROWNED FRUIT DOVE,PTILINOPUS INSULARIS,oceania
SCARLET FACED LIOCICHLA,LIOCICHLA RIPPONI,asia
SCARLET IBIS,EUDOCIMUS RUBER,south america
SCARLET MACAW,ARA MACAO,north america;central america;south america
SCARLET TANAGER,PIRANGA OLIVACEA,north america;central america;south america
SHOEBILL,BALAENICEPS REX,africa
SHORT BILLED DOWITCHER,LIMNODROMUS GRISEUS,north america;central america;south america
SMITHS LONGSPUR,CALCARIUS PICTUS,north america
SNOW GOOSE,ANSER CAERULESCENS,north america
SNOW PARTRIDGE,LERWA LERWA,asia
SNOWY EGRET,EGRETTA THULA,north america;central america;south america
SNOWY OWL,BUBO SCANDIACUS,north america;europe;asia
SNOWY PLOVER,CHARADRIUS NIVOSUS,north america;south america
SNOWY SHEATHBILL,CHIONIS ALBUS,antarctica
SORA,PORZANA CAROLINA,north america;central america;south america
SPANGLED COTINGA,COTINGA CAYANA,south america
SPLENDID WREN,MALURUS SPLENDENS,oceania
SPOON BILED SANDPIPER,CALIDRIS PYGMAEA,asia
SPOTTED CATBIRD,AILUROEDUS MACULOSUS,oceania
SPOTTED WHISTLING DUCK,DENDROCYGNA GUTTATA,oceania;asia
SQUACCO HERON,ARDEOLA RALLOIDES,africa;europe;asia
SRI LANKA BLUE MAGPIE,UROCISSA ORNATA,asia
STEAMER DUCK,TACHYERES,south america
STORK BILLED KINGFISHER,PELARGOPSIS CAPENSIS,asia
STRIATED CARACARA,PHALCOBOENUS AUSTRALIS,south america
STRIPED MANAKIN,MACHAEROPTERUS REGULUS,south america
STRIPED OWL,ASIO CLAMATOR,north america;central america;south america
STRIPED SWALLOW,CECROPIS ABYSSINICA,africa
SUNBITTERN,EURYPYGA HELIAS,central america;south america
SUPERB STARLING,LAMPROTORNIS SUPERBUS,africa
SURF SCOTER,MELANITTA PERSPICILLATA,north america
SWINHOES PHEASANT,LOPHURA SWINHOII,asia
TAILORBIRD,ORTHOTOMUS ATROGULARIS,asia
TAIWAN MAGPIE,UROCISSA CAERULEA,asia
TAKAHE,PORPHYRIO HOCHSTETTERI,oceania
TASMANIAN HEN,TRIBONYX MORTIERII,oceania
TAWNY FROGMOUTH,PODARGUS STRIGOIDES,oceania
TEAL DUCK,ANAS CRECCA,europe;asia;africa
TITMOUSE,BAEOLOPHUS,north america
TOUCAN,RAMPHASTIDAE,north america;central america;south america
TOWNSENDS WARBLER,SETOPHAGA TOWNSENDI,north america;central america
TREE SWALLOW,TACHYCINETA BICOLOR,north america;central america;south america
TRICOLORED BLACKBIRD,AGELAIUS TRICOLOR,north america
TROPICAL KINGBIRD,TYRANNUS MELANCHOLICUS,north america;central america;south america
TRUMPTER SWAN,CYGNUS BUCCINATOR,north america
TURKEY VULTURE,CATHARTES AURA,north america;central america;south america
TURQUOISE MOTMOT,EUMOMOTA SUPERCILIOSA,north america;central america
UMBRELLA BIRD,CEPHALOPTERUS,central america;south america
VARIED THRUSH,IXOREUS NAEVIUS,north america
VEERY,CATHARUS FUSCESCENS,north america;south america
VENEZUELIAN TROUPIAL,ICTERUS ICTERUS,south america
VERDIN,AURIPARUS FLAVICEPS,north america
VERMILION FLYCATHER,PYROCEPHALUS OBSCURUS,north america;south america
VICTORIA CROWNED PIGEON,GOURA VICTORIA,oceania
VIOLET BACKED STARLING,CINNYRICINCLUS LEUCOGASTER,africa
VIOLET CUCKOO,CHRYSOCOCCYX XANTHORHYNCHUS,asia
VIOLET GREEN SWALLOW,TACHYCINETA THALASSINA,north america
VIOLET TURACO,MUSOPHAGA VIOLACEA,africa
VISAYAN HORNBILL,PENELOPIDES PANINI,asia
VULTURINE GUINEAFOWL,ACRYLLIUM VULTURINUM,africa
WALLCREEPER,TICHODROMA MURARIA,europe;asia
WATTLED CURASSOW,CRAX GLOBULOSA,south america
WATTLED LAPWING,VANELLUS INDICUS,asia
WHIMBREL,NUMENIUS PHAEOPUS,europe;asia;africa
WHITE BREASTED WATERHEN,AMAURORNIS PHOENICURUS,asia
WHITE BROWED CRAKE,AMAURORNIS CINEREA,asia;oceania
WHITE CHEEKED TURACO,TAURACO LEUCOTIS,africa
WHITE CRESTED HORNBILL,TROPICRANUS ALBOCRISTATUS,africa
WHITE EARED HUMMINGBIRD,BASILINNA LEUCOTIS,north america;central america
WHITE NECKED RAVEN,CORVUS ALBICOLLIS,africa
WHITE TAILED TROPIC,PHAETHON LEPTURUS,africa;north america;south america;oceania;asia
WHITE THROATED BEE EATER,MEROPS ALBICOLLIS,africa
WHITE WAGTAIL,MOTACILLA ALBA,europe;asia;africa
WILD TURKEY,MELEAGRIS GALLOPAVO,north america
WILLOW PTARMIGAN,LAGOPUS LAGOPUS,north america;europe;asia
WILSONS BIRD OF PARADISE,CICINNURUS RESPUBLICA,asia
WOOD DUCK,AIX SPONSA,north america
WOOD PIGEON,COLUMBA PALUMBUS,europe;asia
WOOD THRUSH,HYLOCICHLA MUSTELINA,north america;central america
WOODLAND KINGFISHER,HALCYON SENEGALENSIS,africa
WRENTIT,CHAMAEA FASCIATA,north america
YELLOW BELLIED FLOWERPECKER,DICAEUM MELANOXANTHUM,asia
YELLOW BREASTED CHAT,ICTERIA VIRENS,north america;central america
YELLOW CACIQUE,CACICUS CELA,central america;south america
YELLOW HEADED BLACKBIRD,XANTHOCEPHALUS XANTHOCEPHALUS,north america
ZEBRA DOVE,GEOPELIA STRIATA,asia
