model_name|epoch_number|train_loss|test_loss|train_acc|test_acc
TinyVGG|0|0.7533161795671829|0.28098149892207774|0.6525198938992043|0.9204244031830239
TinyVGG|1|0.3189734784639204|0.19372399421557304|0.883289124668435|0.9336870026525199
TinyVGG|2|0.337158807938728|0.19507013289778447|0.8938992042440318|0.9496021220159151
TinyVGG|3|0.19604382858988015|0.20793370693919438|0.9363395225464191|0.9363395225464191
TinyVGG_4class|0|1.0893794266975632|0.6637932689087006|0.5104529616724739|0.710801393728223
TinyVGG_4class|1|0.6413217062018677|0.4732785836151305|0.7491289198606271|0.8658536585365854
TinyVGG_4class|2|0.40686441943370766|0.434171983217971|0.8449477351916377|0.8536585365853658
TinyVGG_4class|3|0.3895174682705548|0.3076463936750621|0.8693379790940766|0.8972125435540069
TinyVGG_5class|0|1.4024053504483833|0.9748940257323363|0.38629737609329445|0.5539358600583091
TinyVGG_5class|1|0.9074416213053745|0.7660855479042928|0.6472303206997084|0.6763848396501457
TinyVGG_5class|2|0.668967214235303|0.7687072494989748|0.7521865889212828|0.6982507288629738
TinyVGG_5class|3|0.5163249630710416|0.4283170649928926|0.8367346938775511|0.8615160349854227
effnet_b0_5class|0|1.6431966332756742|1.7033195998248136|0.2434402332361516|0.17201166180758018
effnet_b0_5class|1|1.5266162647102735|1.7195103705450676|0.3163265306122449|0.1793002915451895
effnet_b0_5class|2|1.4303432686944049|1.8903099097333218|0.42128279883381925|0.19096209912536444
effnet_b0_5class|3|1.3480143314634745|1.8819478371617746|0.4577259475218659|0.19387755102040816
effnet_b0_5class|0|1.092350575056943|0.6392710534009066|0.7159090909090909|0.948051948051948
effnet_b0_5class|1|0.47855863110585645|0.2811690297993747|0.9669237012987012|0.984375
effnet_b0_5class|2|0.2926669032736258|0.18498577787117523|0.9758522727272727|0.9914772727272727
effnet_b0_5class|3|0.20884856513955377|0.13461653058501807|0.9825487012987012|0.9928977272727273
TinyVGG_5class_128|0|1.4216927505040593|1.1184744129434916|0.3746355685131195|0.5714285714285714
TinyVGG_5class_128|1|0.9846163055300398|0.7169111883693745|0.6180758017492711|0.7478134110787172
TinyVGG_5class_128|2|0.7037715885287585|0.8101525721051019|0.7448979591836735|0.7973760932944607
TinyVGG_5class_128|3|0.4836224026375715|0.4836836120923805|0.8425655976676385|0.826530612244898
TinyVGG_5class_224|0|1.3957178454137158|0.7927129780603195|0.4139941690962099|0.6836734693877551
TinyVGG_5class_224|1|0.7684542595992323|0.5939603179903482|0.7463556851311953|0.7740524781341108
TinyVGG_5class_224|2|0.5995086486404556|0.39882759315586663|0.7973760932944607|0.8556851311953353
TinyVGG_5class_224|3|0.45183214180104736|0.4435392623686734|0.8571428571428571|0.8498542274052479
effnetb0_5class|0|1.1104976805773648|0.6595110351389105|0.7183441558441559|0.9200487012987012
effnetb0_5class|1|0.49530713666569104|0.278742024844343|0.9730113636363636|0.9900568181818182
effnetb0_5class|2|0.2874816493554549|0.18326943977312607|0.9786931818181818|0.9928977272727273
effnetb0_5class|3|0.20359166237440976|0.13509624045003543|0.9900568181818182|0.9872159090909091
